Carrier_id,Carrier,Carrier classification,Cargo
49,acacia sieberiana,Higher Plants,['tuberculobruchus natalensis']
50,acacia sphaerocephala,Higher Plants,"['acanthoscelides oblongoguttatus', 'mimosestes obscuriceps', 'mimosestes cinerifer']"
51,acacia synchronicia,Higher Plants,['lasiodiplodia theobromae']
52,acacia tortilis,Higher Plants,"['sinorhizobium meliloti', 'bruchidius aurivillii', 'tuberculobruchus sinaitus', 'sinorhizobium terangae', 'bruchidius raddianae', 'mesorhizobium plurifarium']"
53,acaciella angustissima,Higher Plants,"['mesorhizobium amorphae', 'sinorhizobium chiapanecum', 'mesorhizobium plurifarium', 'rhizobium tropici', 'ensifer mexicanus']"
54,acalymma vittatum,Arthropod,['gregarina diabrotica']
55,acalypha hispida,Higher Plants,['helopeltis theivora']
56,acanthamoeba castellanii,Protozoa,"['acanthamoeba polyphaga mimivirus', 'parachlamydia acanthamoebae', 'legionella pneumophila']"
57,acanthamoeba polyphaga,Protozoa,['acanthamoeba polyphaga mimivirus']
58,acanthaster planci,Cnidaria,"['fusarium proliferatum', 'penicillium citrinum']"
59,acanthastrea echinata,Cnidaria,['savignium crenatum']
60,acanthella acuta,Porifera,"['bacillus pumilus', 'bacillus licheniformis']"
61,acanthella cavernosa,Porifera,['pseudoalteromonas luteoviolacea']
62,acanthochromis polyacanthus,Fish,"['kudoa whippsi', 'ceratomyxa dennisi', 'lepotrema clavatum', 'bivesicula unexpecta']"
63,acanthocyclops vernalis,Arthropod,"['amblyospora khaliulini', 'amblyospora excrucii']"
64,acanthodiaptomus denticornis,Arthropod,['pseudomonas putida']
65,acanthogobius flavimanus,Fish,['pseudodactylogyrus haze']
66,acanthogobius hasta,Fish,['vibrio harveyi']
67,acanthopagrus australis,Fish,"['transversotrema licinum', 'prototransversotrema steeri', 'nerocila monodi', 'benedenia anticavaginata']"
68,acanthopagrus bifasciatus,Fish,['lamellodiscus donatellae']
69,acanthopagrus latus,Fish,['infectious spleen and kidney necrosis virus']
70,acanthopagrus schlegelii,Fish,['kudoa iwatai']
71,acanthurus nigrofuscus,Fish,['epulopiscium fishelsoni']
72,acartia clausii,Arthropod,"['marteilia refringens', 'ellobiopsis chattonii']"
73,acartia negligens,Arthropod,['blastodinium galatheanum']
74,accipiter cooperii,Aves,"['leucocytozoon toddi', 'west nile virus', 'haemoproteus elani', 'columbid herpesvirus 1']"
75,accipiter gentilis,Aves,"['west nile virus', 'neottialges vitzthumi']"
76,accipiter gularis,Aves,['newcastle disease virus']
77,accipiter nisus,Aves,"['hieracolichus nisi', 'leucocytozoon toddi', 'trypanosoma avium']"
78,accipiter trivirgatus,Aves,['influenza a virus']
79,acer campestre,Higher Plants,['neoseiulella aceri']
80,acer monspessulanum,Higher Plants,['neoseiulella aceri']
81,acer negundo,Higher Plants,['longidorus paravineacola']
82,acer palmatum,Higher Plants,"['parlatoria theae', 'pratylenchus loosi']"
83,acer platanoides,Higher Plants,['neoseiulella aceri']
84,acer rubrum,Higher Plants,['melanaspis tenebricosa']
85,achaea janata,Arthropod,['staphylococcus aureus']
86,achillea biebersteinii,Higher Plants,['mesoanguina millefolii']
87,achillea millefolium,Higher Plants,"['globodera millefolii', 'mesoanguina millefolii', 'oxyna flavipennis']"
88,achnatherum inebrians,Higher Plants,['streptomyces rochei']
89,acholeplasma laidlawii,Bacteria,['acholeplasma phage l2']
90,achromobacter xylosoxidans,Bacteria,['achromobacter denitrificans']
91,achyranthes aspera,Higher Plants,['colletotrichum gloeosporioides']
92,acianthera hamosa,Higher Plants,['rhodotorula mucilaginosa']
93,acidianus convivator,Others,"['acidianus filamentous virus 7', 'acidianus filamentous virus 6', 'acidianus bottle-shaped virus', 'acidianus filamentous virus 8', 'acidianus two-tailed virus']"
94,acidianus hospitalis,Others,['acidianus filamentous virus 1']
95,acidianus infernus,Others,['acidianus filamentous virus 1']
96,acidianus pozzuoliensis,Others,['acidianus filamentous virus 2']
97,acinetobacter johnsonii,Bacteria,['acinetobacter phage 133']
98,acinonyx jubatus,Mammal,"['feline calicivirus', 'feline immunodeficiency virus', 'cowpox virus', 'influenza a virus', 'helicobacter acinonychis', 'helicobacter heilmannii', 'babesia lengau', 'cryptococcus gattii']"
99,acipenser baerii,Fish,"['spring viraemia of carp virus', 'bacillus circulans']"
100,acipenser persicus,Fish,"['pediococcus pentosaceus', 'lactococcus garvieae', 'enterococcus faecalis']"
101,acipenser ruthenus,Fish,"['amphilina foliacea', 'polypodium hydriforme']"
102,acipenser schrenckii,Fish,"['aeromonas hydrophila', 'acinetobacter junii', 'yersinia ruckeri']"
103,acipenser sturio,Fish,"['pseudomonas aeruginosa', 'aeromonas veronii']"
104,acipenser transmontanus,Fish,"['sturgeon adenovirus a', 'acipenserid herpesvirus 2']"
105,acnistus arborescens,Higher Plants,['bemisia berbericola']
106,acomys johannis,Rodent,['trypanosoma lewisi']
107,acomys spinosissimus,Rodent,['listrophoroides uranomys']
108,aconitum napellus,Higher Plants,['aphelenchoides fragariae']
109,acris crepitans,Amphibian,['batrachochytrium dendrobatidis']
110,acrocephalus arundinaceus,Aves,"['plasmodium nucleophilum', 'haemoproteus sylvae']"
111,acrocephalus schoenobaenus,Aves,['haemoproteus belopolskyi']
112,acrocephalus scirpaceus,Aves,"['haemoproteus payevskyi', 'haemoproteus belopolskyi']"
113,acromyrmex crassispinus,Arthropod,['leucoagaricus gongylophorus']
114,acromyrmex echinatior,Arthropod,"['leucoagaricus gongylophorus', 'escovopsis weberi']"
115,acromyrmex octospinosus,Arthropod,"['leucoagaricus gongylophorus', 'hirsutella subramanianii', 'escovopsis weberi', 'hirsutella stilbelliformis']"
116,acromyrmex rugosus,Arthropod,['leucoagaricus gongylophorus']
117,acromyrmex subterraneus,Arthropod,['leucoagaricus gongylophorus']
118,acropoma hanedai,Fish,['photobacterium kishitanii']
119,acropoma japonicum,Fish,['photobacterium leiognathi']
120,acropora digitifera,Cnidaria,"['streptomyces albus', 'curtobacterium citreum', 'streptomyces akiyoshiensis', 'delftia tsuruhatensis', 'micrococcus luteus', 'curtobacterium flaccumfaciens', 'streptomyces rochei', 'stenotrophomonas maltophilia']"
121,acropora formosa,Cnidaria,"['humicola fuscoatra', 'aureobasidium pullulans', 'penicillium citrinum']"
122,acropora millepora,Cnidaria,['symbiodinium microadriaticum']
123,acropora palmata,Cnidaria,['serratia marcescens']
124,acropora tenuis,Cnidaria,['symbiodinium microadriaticum']
125,actinidia chinensis,Higher Plants,"['pseudomonas syringae', 'ribgrass mosaic virus', 'micromonospora krabiensis', 'phoma herbarum']"
126,actinidia deliciosa,Higher Plants,"['hemiberlesia rapax', 'lasiodiplodia theobromae', 'pectobacterium carotovorum', 'hemiberlesia lataniae', 'fusarium proliferatum', 'pseudomonas syringae', 'ribgrass mosaic virus']"
127,actinidia polygama,Higher Plants,['pseudasphondylia matatabi']
128,actinomyces naeslundii,Bacteria,['actinomyces phage av-1']
129,actitis hypoleucos,Aves,['bychovskiata hypoleuci']
130,acyrthosiphon kondoi,Arthropod,"['pandora kondoiensis', 'entomophthora chromaphidis', 'buchnera aphidicola']"
131,acyrthosiphon pisum,Arthropod,"['buchnera aphidicola', 'serratia symbiotica', 'pandora neoaphidis', 'fusarium oxysporum']"
132,adansonia digitata,Higher Plants,['lasiodiplodia theobromae']
133,adansonia gregorii,Higher Plants,"['fusarium verticillioides', 'lasiodiplodia theobromae', 'nigrospora sphaerica']"
134,adansonia za,Higher Plants,['lasiodiplodia theobromae']
135,adenanthera pavonina,Higher Plants,"['bacillus megaterium', 'bacillus subtilis']"
136,adenocarpus foliolosus,Higher Plants,"['bradyrhizobium canariense', 'arytinnis proboscidea']"
137,adenocarpus viscosus,Higher Plants,['arytinnis proboscidea']
138,adenostoma fasciculatum,Higher Plants,"['anisococcus adenostomae', 'heliococcus adenostomae']"
139,adoxophyes orana,Arthropod,['adoxophyes orana granulovirus']
140,aechmophorus occidentalis,Aves,"['aquanirmus occidentalis', 'influenza a virus']"
141,aedes aegypti,Arthropod,"['st. louis encephalitis virus', 'dengue virus', 'venezuelan equine encephalitis virus', 'aedes aegypti densovirus', 'chikungunya virus', 'edhazardia aedis', 'pantoea stewartii', 'yellow fever virus', 'meyerozyma caribbica', 'dirofilaria immitis', 'bacillus subtilis']"
142,aedes africanus,Arthropod,"['yellow fever virus', 'chikungunya virus']"
143,aedes albopictus,Arthropod,"['getah virus', 'enterobacter ludwigii', 'west nile virus', 'smittium culisetae', 'california encephalitis virus', 'aedes albopictus densovirus', 'rickettsia felis', 'dengue virus', 'ascogregarina taiwanensis', 'chikungunya virus', 'vavraia culicis', 'banna virus', 'bacillus megaterium', 'leuconostoc mesenteroides']"
144,aedes cinereus,Arthropod,"['amblyospora cinerei', 'california encephalitis virus', 'west nile virus', 'sindbis virus']"
145,aedes circumluteolus,Arthropod,"['wesselsbron virus', 'rift valley fever virus', 'bwamba virus']"
146,aedes cumminsii,Arthropod,['rift valley fever virus']
147,aedes furcifer,Arthropod,"['yellow fever virus', 'chikungunya virus']"
148,aedes japonicus,Arthropod,['ascogregarina taiwanensis']
149,aedes luteocephalus,Arthropod,"['chikungunya virus', 'yellow fever virus']"
150,aedes mcintoshi,Arthropod,"['wesselsbron virus', 'rift valley fever virus']"
151,aedes ochraceus,Arthropod,"['rift valley fever virus', 'semliki forest virus']"
152,aedes taylori,Arthropod,['yellow fever virus']
153,aedes vexans,Arthropod,"['rift valley fever virus', 'california encephalitis virus', 'strigomonas culicis', 'west nile virus', 'banna virus']"
154,aedes vittatus,Arthropod,['yellow fever virus']
155,aegle marmelos,Higher Plants,['colletotrichum gloeosporioides']
156,aegopodium podagraria,Higher Plants,"['macrosiphum gei', 'cherry leaf roll virus']"
157,aegypius monachus,Aves,['west nile virus']
158,aepyceros melampus,Mammal,"['foot-and-mouth disease virus', 'hyalomma marginatum']"
159,aerodramus elaphrus,Aves,['dennyus carljonesi']
160,aerodramus francicus,Aves,['dennyus carljonesi']
161,aerodramus fuciphagus,Aves,['dennyus carljonesi']
162,aerodramus mearnsi,Aves,['dennyus bartoni']
163,aerodramus papuensis,Aves,['dennyus mimirogerorum']
164,aerodramus spodiopygius,Aves,"['dennyus singhi', 'dennyus kristinae']"
165,aeromonas hydrophila,Bacteria,['aeromonas phage aeh1']
166,aeromonas salmonicida,Bacteria,"['aeromonas phage 65', 'aeromonas phage 44rr2.8t']"
167,aeschynomene americana,Higher Plants,['colletotrichum dematium']
168,aeschynomene indica,Higher Plants,['bradyrhizobium denitrificans']
169,aesculus hippocastanum,Higher Plants,"['erwinia billingiae', 'yersinia frederiksenii', 'erwinia rhapontici', 'pseudomonas marginalis', 'pseudomonas amygdali', 'pantoea agglomerans']"
170,aesculus indica,Higher Plants,['pseudomonas amygdali']
171,aetheca wagneri,Arthropod,"['bartonella vinsonii', 'bartonella washoensis']"
172,aetobatus narinari,Fish,"['oncomegas australiensis', 'cephalobothrium aetobatidis']"
173,afrixalus fornasini,Amphibian,['batrachochytrium dendrobatidis']
174,agama agama,Reptile,"['plasmodium giganteum', 'plasmodium agamae']"
175,agapanthus africanus,Higher Plants,['nerine virus x']
176,agapornis nigrigenis,Aves,['beak and feather disease virus']
177,agapornis personata,Domestic,['budgerigar fledgling disease polyomavirus']
178,agapornis roseicollis,Domestic,"['encephalitozoon hellem', 'beak and feather disease virus']"
179,agaricus bisporus,Fungi,"['pseudomonas gingeri', 'pseudomonas tolaasii', 'ewingella americana', 'pseudomonas fluorescens', 'ditylenchus myceliophagus', 'mushroom bacilliform virus', 'pseudomonas agarici', 'pseudomonas reactans']"
180,agastache rugosa,Higher Plants,['ralstonia solanacearum']
181,agave americana,Higher Plants,"['bacillus subtilis', 'bacillus cereus', 'erwinia soli', 'bacillus megaterium']"
182,agave angustifolia,Higher Plants,['scyphophorus acupunctatus']
183,agave salmiana,Higher Plants,"['bacillus megaterium', 'bacillus cereus', 'paenibacillus illinoisensis', 'pantoea stewartii', 'pantoea agglomerans', 'enterobacter cowanii']"
184,agave sisalana,Higher Plants,['frankliniella occidentalis']
185,agave tequilana,Higher Plants,"['neurospora sitophila', 'scyphophorus acupunctatus', 'fusarium verticillioides']"
186,agelaius phoeniceus,Aves,"['proctophyllodes egglestoni', 'west nile virus', 'gigantobilharzia huronensis']"
187,agelas oroides,Porifera,['kytococcus sedentarius']
188,agelas sceptrum,Porifera,['parazoanthus puertoricense']
189,agelastica alni,Arthropod,['wolbachia pipientis']
190,ageneiosus inermis,Fish,"['gibsoniela meursaulti', 'ageneiella brevifilis']"
191,ageratina adenophora,Higher Plants,['frankliniella occidentalis']
192,ageratum conyzoides,Higher Plants,"['cucumber mosaic virus', 'euphorbia leaf curl virus', 'malvastrum yellow vein virus', 'ageratum enation virus', 'squash leaf curl virus', 'tobacco curly shoot virus', 'papaya leaf curl china virus', 'tomato leaf curl china virus', 'ageratum leaf curl virus', 'okra yellow crinkle virus', 'tobacco leaf curl yunnan virus', 'bemisia tabaci', 'ageratum yellow vein virus']"
193,ageratum houstonianum,Higher Plants,"['chilli veinal mottle virus', 'ageratum yellow vein hualian virus', 'ageratum enation virus', 'tomato leaf curl virus', 'ageratum yellow vein virus']"
194,agkistrodon piscivorus,Reptile,['ophiotaenia grandis']
195,aglaophenia kirchenpaueri,Cnidaria,['vibrio harveyi']
196,aglaophenia tubiformis,Cnidaria,['aliivibrio fischeri']
197,agrilus planipennis,Arthropod,"['isaria farinosa', 'paecilomyces lilacinus', 'beauveria bassiana', 'cordyceps brongniartii', 'cordyceps bassiana']"
198,agrimonia pilosa,Higher Plants,['potato virus y']
199,agriotes lineatus,Arthropod,['metarhizium anisopliae']
200,agriotes obscurus,Arthropod,['metarhizium anisopliae']
201,agriotes sputator,Arthropod,"['metarhizium anisopliae', 'zoophthora anglica']"
202,agrobacterium tumefaciens,Bacteria,['plasmid ti']
203,agrostis capillaris,Higher Plants,['anguina agrostis']
204,agrostis stolonifera,Higher Plants,['anguina agrostis']
205,agrotis ipsilon,Arthropod,"['metarhizium anisopliae', 'agrotis ipsilon multiple nucleopolyhedrovirus']"
206,agrotis segetum,Arthropod,['agrotis ipsilon multiple nucleopolyhedrovirus']
207,ailanthus altissima,Higher Plants,"['bacillus pumilus', 'tobacco mosaic virus']"
208,ailuropoda melanoleuca,Mammal,"['escherichia coli', 'canine distemper virus', 'alphacoronavirus 1', 'baylisascaris schroederi', 'rotavirus a', 'streptococcus dysgalactiae']"
209,ailurus fulgens,Mammal,"['baylisascaris ailuri', 'dirofilaria immitis', 'cowpox virus', 'feline panleukopenia virus', 'canine distemper virus']"
210,aiptasia pulchella,Cnidaria,['symbiodinium pulchrorum']
211,aix galericulata,Aves,"['influenza a virus', 'newcastle disease virus']"
212,aix sponsa,Aves,"['newcastle disease virus', 'influenza a virus']"
213,akodon dolores,Rodent,['amblyomma tigrinum']
214,akodon montensis,Rodent,"['besnoitia akodoni', 'andes virus']"
215,akodon simulator,Rodent,['laguna negra virus']
216,alauda arvensis,Aves,['haemoproteus tartakovskyi']
217,alaus myops,Arthropod,"['candida alai', 'candida pseudorhagii', 'candida maltosa']"
218,albizia julibrissin,Higher Plants,"['peyronellaea glomerata', 'rhizobium mesosinicum']"
219,albizia kalkora,Higher Plants,['mesorhizobium albiziae']
220,albizia lebbeck,Higher Plants,"['tuberculobruchus albizziarum', 'bradyrhizobium elkanii']"
221,alburnoides bipunctatus,Fish,['gyrodactylus hronosus']
222,alburnus alburnus,Fish,"['gyrodactylus carassii', 'dactylogyrus fraternus', 'ligula intestinalis', 'gyrodactylus gracilihamatus', 'allocreadium isoporum', 'dactylogyrus parvus', 'dactylogyrus minor', 'gyrodactylus alburnensis', 'ligula colymbi']"
223,alca torda,Aves,['quadraceps alcae']
224,alcea rosea,Higher Plants,"['cotton leaf curl gezira virus', 'bemisia tabaci', 'malva vein clearing virus', 'frankliniella occidentalis', 'hollyhock leaf crumple virus']"
225,alcedo leucogaster,Aves,['haemoproteus enucleator']
226,alces alces,Mammal,"['ovine herpesvirus 2', 'ixodes ricinus', 'caprine herpesvirus 2', 'setaria tundra', 'sarcocystis scandinavica', 'sarcocystis alces', 'dictyocaulus eckerti', 'dictyocaulus capreolus', 'elaphostrongylus alces', 'parelaphostrongylus tenuis', 'echinococcus canadensis', 'echinococcus granulosus', 'sarcocystis ovalis', 'sarcocystis alceslatrans', 'giardia intestinalis', 'dermacentor albipictus']"
227,alces americanus,Mammal,"['echinococcus canadensis', 'ovine herpesvirus 2']"
228,alcyonidium gelatinosum,Bryozoa,"['fusarium culmorum', 'emericellopsis minima', 'botryotinia fuckeliana', 'cladosporium macrocarpum', 'aspergillus fumigatus', 'cladosporium tenuissimum']"
229,alectoris barbara,Aves,"['lyruterina nigropunctata', 'choanotaenia infundibulum']"
230,alectoris chukar,Aves,['influenza a virus']
231,alectoris rufa,Aves,['bagaza virus']
232,alepocephalus bairdii,Fish,"['lecithophyllum botryophorum', 'palliatus indecorus']"
233,alethe diademata,Aves,"['plasmodium parahexamerium', 'unidentified nematode']"
234,aleurodicus dugesii,Arthropod,['encarsia hispida']
235,alexandrium minutum,Protozoa,"['bacillus cereus', 'bacillus subtilis', 'bacillus pumilus', 'bacillus thuringiensis']"
236,algansea lacustris,Fish,['octomacrum mexicanum']
237,alhagi graecorum,Higher Plants,['bruchidius fulvus']
238,alhagi sparsifolia,Higher Plants,['mesorhizobium alhagi']
239,allamanda cathartica,Higher Plants,"['cronobacter sakazakii', 'bacillus cereus', 'bacillus anthracis', 'bacillus megaterium', 'bacillus subtilis', 'cucumber mosaic virus', 'bacillus altitudinis', 'bacillus thuringiensis', 'bacillus pumilus']"
240,alle alle,Aves,"['austromenopon merguli', 'quadraceps klatti']"
241,allenopithecus nigroviridis,Primate,"['simian foamy virus', 'pneumocystis carinii']"
242,alliaria petiolata,Higher Plants,['turnip mosaic virus']
243,alligator mississippiensis,Reptile,"['mycoplasma alligatoris', 'dujardinascaris waltoni']"
244,alligator sinensis,Reptile,"['kurthia gibsonii', 'aeromonas hydrophila', 'bacillus subtilis', 'lysinibacillus sphaericus', 'lysinibacillus fusiformis', 'escherichia coli', 'proteus mirabilis', 'exiguobacterium acetylicum']"
245,allium aflatunense,Higher Plants,['methylobacterium thiocyanatum']
246,allium ampeloprasum,Higher Plants,"['onion yellow dwarf virus', 'thrips tabaci', 'pseudomonas coronafaciens', 'shallot yellow stripe virus', 'leek yellow stripe virus', 'turnip mosaic virus']"
247,allium cepa,Higher Plants,"['frankliniella occidentalis', 'shallot virus x', 'colletotrichum coccodes', 'colletotrichum gloeosporioides', 'pantoea ananatis', 'rhizopus oryzae', 'thrips tabaci', 'onion yellow dwarf virus', 'ditylenchus dipsaci', 'groundnut bud necrosis virus', 'alternaria tenuissima', 'tobacco streak virus', 'aceria tulipae', 'fusarium proliferatum', 'serratia plymuthica', 'xanthomonas axonopodis', 'shallot yellow stripe virus', 'liriomyza trifolii', 'burkholderia cepacia']"
248,allium chinense,Higher Plants,"['onion yellow dwarf virus', 'scallion mosaic virus']"
249,allium fistulosum,Higher Plants,"['shallot yellow stripe virus', 'fusarium proliferatum']"
250,allium nutans,Higher Plants,['peyronellaea glomerata']
251,allium sativum,Higher Plants,"['garlic common latent virus', 'frankliniella occidentalis', 'garlic virus b', 'ditylenchus dipsaci', 'serratia grimesii', 'garlic virus a', 'bacillus subtilis', 'ochrobactrum intermedium', 'garlic virus d', 'novosphingobium resinovorum', 'bacillus thuringiensis', 'brevundimonas diminuta', 'garlic virus c', 'potato virus y', 'fusarium proliferatum', 'garlic virus x', 'rhodococcus globerulus', 'ochrobactrum pseudogrignonense', 'ditylenchus destructor', 'onion yellow dwarf virus', 'garlic virus e', 'garlic mite-borne filamentous virus', 'shallot latent virus', 'pseudomonas putida', 'arthrobacter nicotinovorans', 'steinernema cholashanense', 'leek yellow stripe virus', 'arthrobacter sulfureus', 'lettuce necrotic yellows virus']"
252,allium tuberosum,Higher Plants,"['fusarium proliferatum', 'thrips alliorum']"
253,allium victorialis,Higher Plants,['herbaspirillum rhizosphaerae']
254,allocapnia vivipara,Arthropod,['genistelloides hibernus']
255,alloteuthis subulata,Mollusca,['vibrio lentus']
256,allotoca diazi,Fish,['margotrema bravoe']
257,alnus glutinosa,Higher Plants,"['phoma herbarum', 'coniothyrium fuckelii', 'sphaeronema alni', 'craesus septentrionalis', 'bacillus licheniformis', 'craesus alniastri', 'hemichroa crocea', 'nematus erythrogaster', 'nematus viridissimus', 'galerucella lineola']"
258,alnus incana,Higher Plants,"['pyrenochaeta cava', 'peyronellaea glomerata']"
259,alnus nepalensis,Higher Plants,"['micromonospora pattaloongensis', 'micromonospora sagamiensis', 'actinoallomurus spadix']"
260,aloe vera,Higher Plants,"['pseudomonas otitidis', 'rhizopus oryzae', 'bacillus pumilus', 'bacillus cereus', 'bacillus thuringiensis', 'nigrospora sphaerica', 'pseudomonas aeruginosa', 'cedecea davisae', 'pantoea agglomerans', 'bacillus megaterium', 'bacillus subtilis', 'bacillus licheniformis']"
261,alopex lagopus,Mammal,"['encephalitozoon cuniculi', 'trichinella nativa', 'toxocara canis', 'echinococcus multilocularis', 'canine distemper virus']"
262,alopias pelagicus,Fish,['litobothrium amplifica']
263,alopias superciliosus,Fish,['litobothrium janovyi']
264,alopochen aegyptiacus,Aves,"['avian paramyxovirus 4', 'influenza a virus']"
265,alosa pseudoharengus,Fish,['paenibacillus thiaminolyticus']
266,alosa sapidissima,Fish,['ichthyophonus hoferi']
267,alouatta caraya,Primate,"['vaccinia virus', 'yellow fever virus', 'giardia intestinalis']"
268,alouatta guariba,Primate,"['trypanosoma lewisi', 'giardia intestinalis']"
269,alouatta palliata,Primate,['cuterebra baeri']
270,alouatta seniculus,Mammal,['manzanilla virus']
270,alouatta seniculus,Primate,"['plasmodium brasilianum', 'yellow fever virus']"
271,alphitobius diaperinus,Arthropod,['clostridium perfringens']
272,alternanthera ficoidea,Higher Plants,['alternanthera mild mosaic virus']
273,alternanthera philoxeroides,Higher Plants,"['aeromonas media', 'trichoderma viride', 'alternanthera yellow vein virus', 'tobacco curly shoot virus']"
274,alternanthera pungens,Higher Plants,['alternanthera mosaic virus']
275,alternanthera sessilis,Higher Plants,"['alternanthera yellow vein virus', 'iresine viroid 1']"
276,alvinella pompejana,Segmented Worm,"['epibiont metagenome', 'alteromonas alvinellae', 'nautilia profundicola']"
277,alyssum serpyllifolium,Higher Plants,"['bacillus simplex', 'pseudomonas lutea']"
278,alytes obstetricans,Amphibian,"['rhodococcus fascians', 'rahnella aquatilis', 'frog virus 3', 'serratia plymuthica']"
279,amanita muscaria,Fungi,['sphingomonas paucimobilis']
280,amaranthus cruentus,Higher Plants,['ageratum enation virus']
281,amaranthus hypochondriacus,Higher Plants,"['ageratum enation virus', 'hypocrea pseudokoningii']"
