Cargo,Carrier_id
acinetobacter soli,"[1683, 2355, 3757, 4420]"
acinetobacter ursingii,"[2813, 3028]"
acinetobacter venetianus,"[446, 5412]"
acipensericola campbelli,[4734]
acipenserid herpesvirus 2,[104]
acremonium kiliense,"[1063, 2347, 5249]"
acremonium potronii,[3306]
acremonium strictum,"[1062, 1063, 1885, 2703, 2813, 4142]"
acrocercops defigurata,[2992]
acrocercops leucophaea,[3386]
acrocercops mantica,[1143]
acrocercops transecta,"[2991, 2992, 3386, 4658, 4898]"
acrocercops unistriata,[4994]
acrocercops vallata,[4988]
acrophialophora fusispora,[2813]
acrostichus halicti,"[683, 2664, 2665, 2666]"
actinoallomurus spadix,"[259, 2771]"
actinobacillus arthritidis,[2161]
actinobacillus equuli,"[2161, 5719, 5720]"
actinobacillus hominis,[2813]
actinobacillus lignieresii,"[854, 2813, 4152]"
actinobacillus minor,[5719]
actinobacillus pleuropneumoniae,"[854, 1063, 2161, 2813, 4152, 5719, 5720]"
actinobacillus porcinus,[5719]
actinobacillus porcitonsillarum,[5719]
actinobacillus rossii,[5719]
actinobacillus seminis,[4152]
actinobacillus suis,"[2161, 2813, 5719, 5720]"
actinobacillus ureae,[2813]
actinobaculum schaalii,[2813]
actinobaculum suis,"[5719, 5720]"
actinocorallia spatholoba,[5554]
actinomadura glauciflava,[538]
actinomadura madurae,[2813]
actinomadura meyerae,[2813]
actinomadura pelletieri,[2813]
actinomucor elegans,"[2813, 4427]"
actinomyces bovis,[854]
actinomyces bowdenii,"[1062, 1063]"
actinomyces cardiffensis,[2813]
actinomyces dentalis,[2813]
actinomyces denticolens,[2813]
actinomyces funkei,[2813]
actinomyces georgiae,[2813]
actinomyces gerencseriae,[2813]
actinomyces graevenitzii,[2813]
actinomyces hyovaginalis,"[4152, 5719]"
actinomyces israelii,[2813]
actinomyces massiliensis,[2813]
actinomyces meyeri,[2813]
actinomyces naeslundii,[2813]
actinomyces neuii,[2813]
actinomyces odontolyticus,[2813]
actinomyces oricola,[2813]
actinomyces oris,[2813]
actinomyces phage av-1,[128]
actinomyces radingae,[2813]
actinomyces ruminicola,[854]
actinomyces turicensis,[2813]
actinomyces urogenitalis,[2813]
actinomyces viscosus,"[1063, 2813]"
actornithophilus ceruleus,[451]
actornithophilus erinaceus,[5163]
aculodes mckenziei,"[898, 2090]"
acute bee paralysis virus,[498]
acyrthosiphon kondoi,[3520]
acyrthosiphon macrosiphum,[318]
acyrthosiphon pisum,"[1776, 3125, 3305, 3316, 3511, 3520, 3559, 3561, 4064, 4065, 4634, 5985, 5986, 6163, 6165, 6170]"
adelaide river virus,[854]
adelina grylli,[2625]
adialytus ambiguus,[5460]
adialytus salicaphis,[1266]
adlardia novaecaledoniae,[3871]
adlercreutzia equolifaciens,[2813]
adoxophyes orana granulovirus,[139]
advenella incenata,[2975]
aedes aegypti,[2813]
aedes aegypti densovirus,[141]
aedes albopictus densovirus,[143]
aelurostrongylus abstrusus,[2326]
aeolothrips fasciatus,[3474]
aephnidiogenes major,[1889]
aerococcus christensenii,[2813]
aerococcus sanguinicola,[2813]
aerococcus urinaeequi,[1683]
aerococcus viridans,"[854, 2813]"
aeroglyphus robustus,[1495]
aeromonas allosaccharophila,"[4048, 4322]"
aeromonas aquariorum,[2813]
aeromonas bestiarum,"[408, 2813, 4058, 4387, 5237]"
aeromonas bivalvium,[2690]
aeromonas caviae,"[1653, 2497, 2813, 2880, 3757, 4152, 5459]"
aeromonas encheleia,[5237]
aeromonas enteropelogenes,"[446, 1683, 2813, 4257, 4797]"
aeromonas eucrenophila,[1767]
aeromonas hydrophila,"[102, 244, 316, 408, 410, 440, 741, 891, 910, 1063, 1098, 1099, 1159, 1653, 1683, 1767, 2161, 2250, 2326, 2497, 2813, 2816, 2880, 2888, 2895, 3028, 3138, 3527, 3555, 3716, 3786, 4058, 4094, 4124, 4152, 4222, 4235, 4248, 4321, 4670, 4797, 4876, 5021, 5027, 5244, 5602, 5719, 5720, 6131, 6219]"
aeromonas jandaei,"[1401, 1426, 1767, 2497, 2738, 2798, 2881, 4094]"
aeromonas media,"[273, 4058, 5602]"
aeromonas phage 44rr2.8t,[166]
aeromonas phage 65,[166]
aeromonas phage aeh1,[165]
aeromonas piscicola,"[4058, 5237]"
aeromonas popoffii,"[446, 4480]"
aeromonas salmonicida,"[345, 450, 1098, 1981, 2476, 2497, 2813, 2881, 3007, 4048, 4055, 4057, 4058, 4059, 4353, 4480, 5175, 5176, 5186, 5237, 5245, 5246, 5332]"
aeromonas simiae,[3396]
aeromonas sobria,"[446, 1099, 1100, 1653, 1767, 2813, 2895, 3138, 3697, 4048, 4058, 4152, 4235, 4321, 5238, 5602]"
aeromonas tecta,[2813]
aeromonas veronii,"[103, 359, 446, 755, 1098, 1159, 1401, 1653, 1683, 1767, 2181, 2497, 2798, 2799, 2813, 2881, 2888, 2895, 3419, 3420, 3716, 3757, 4048, 4093, 4094, 4235, 4321, 4322, 5412, 5454, 5602]"
aethina concolor,[2935]
affecauda annulata,[3847]
african cassava mosaic virus,"[1187, 2570, 2597, 2600, 2603, 2986, 3210, 3475, 3476, 5148, 5374]"
african swine fever virus,"[4099, 4101, 4103, 4391, 4392, 5719, 5720]"
agaon fasciatum,[2354]
agaon spatulatum,[2374]
agarivorans albus,[2676]
ageneiella brevifilis,[190]
ageratum enation virus,"[192, 193, 280, 281, 893, 1819, 1915, 5524, 5969]"
ageratum leaf curl virus,"[192, 893, 3931]"
ageratum yellow vein hualian virus,"[193, 5485]"
ageratum yellow vein virus,"[192, 193, 2263, 3467, 3935, 5284, 5485, 5524]"
agfa flexilis,[3231]
aggregata eberthi,[5378]
aggregata octopiana,[4021]
aggregatibacter actinomycetemcomitans,"[2813, 4152]"
aggregatibacter aphrophilus,[2813]
aggregatibacter segnis,"[2813, 4321]"
agreia pratensis,"[770, 938]"
agrilus derasofasciatus,[6206]
agrilus viridis,[2308]
agrobacterium albertimagni,[5695]
agrobacterium larrymoorei,"[475, 893, 2342, 2813, 4130, 4420]"
agrobacterium rhizogenes,"[1017, 1777, 2196, 2571, 2813, 3210, 4420, 4838, 5154, 6115]"
agrobacterium rubi,"[6115, 6165]"
agrobacterium tumefaciens,"[36, 48, 475, 789, 808, 893, 938, 939, 1084, 1123, 1412, 1625, 2252, 2429, 2570, 2571, 2599, 2813, 2824, 3030, 3148, 3305, 3511, 3518, 3520, 3727, 3752, 3935, 4130, 4186, 4202, 4267, 4420, 4483, 4753, 4817, 4828, 4829, 4831, 4838, 4975, 5052, 5154, 5171, 5173, 5249, 5376, 5485, 5490, 5526, 6115, 6163, 6188, 6206]"
agrobacterium vitis,"[3752, 6206]"
agrococcus baldri,[2813]
agrococcus jenensis,[4186]
agromyces allii,[4186]
agromyces aurantiacus,[4186]
agromyces mediolanus,[4420]
agrotis ipsilon multiple nucleopolyhedrovirus,"[205, 206]"
aichi virus,[2813]
ajellomyces capsulatus,"[616, 854, 1063, 1876, 2161, 2326, 2813, 3183, 3184, 3556, 3702, 4152, 4919, 5719, 5768]"
ajellomyces dermatitidis,"[1063, 2326, 2813]"
akabane virus,"[854, 4152, 5719]"
alabidocarpus intercalatus,[3805]
alaria alata,"[418, 1062, 1063, 3978, 4647, 5719, 6212]"
alaria marcianae,[2326]
alaria mustelae,[5039]
alaudicola bureschi,[3331]
albidiferax ferrireducens,[5412]
alcaligenes faecalis,"[538, 854, 2183, 2986, 3752, 3935, 5649, 6057, 6061, 6183]"
alcaligenes faecalis subsp. faecalis,"[2301, 6057]"
alcedoecus alatoclypeatus,[2657]
alcelaphine herpesvirus 1,"[854, 1509]"
alcelaphine herpesvirus 2,"[1223, 1795]"
alcyonidium gelatinosum,[2811]
aleurocanthus spiniferus,"[1429, 1434]"
aleurodicus dispersus,"[343, 813, 2599, 3475, 4882, 5488]"
aleurotrachelus camelliae,[1048]
aleutian mink disease virus,"[3358, 3764, 3899]"
alfalfa mosaic virus,"[1123, 2570, 3134, 3520, 3935, 4420, 4448, 5485, 5499, 5758, 5802, 5834, 6159]"
alfonsiella binghami,"[2353, 2407]"
alfonsiella brongersmai,[2412]
alfonsiella longiscapa,[2382]
alfonsiella michaloudi,"[2353, 2412]"
alfonsiella pipithiensis,[2353]
algarobius prosopis,[4816]
algibacter lectus,[4847]
aliatrema cribbi,[1251]
aliivibrio finisterrensis,[5176]
aliivibrio fischeri,"[196, 1450, 1470, 1475, 1856, 2277, 2278, 2279, 2280, 2680, 2724, 3279, 3450, 3710, 4189, 4335, 5379, 5380, 5381, 5382, 6107]"
aliivibrio logei,"[1112, 2475, 2476, 2724, 3606, 3831, 5237, 5379]"
aliivibrio salmonicida,[2786]
aliivibrio wodanis,[2476]
alistipes onderdonkii,[2813]
alistipes shahii,[2813]
allassogonoporus amphoraeformis,"[3805, 4621]"
allobenedenia epinepheli,[2136]
allobilharzia visceralis,"[1737, 1738]"
allocreadium isoporum,[222]
allocreadium lobatum,[5371]
allocreadium mazoensis,[1446]
allofustis seminis,[5719]
alloiococcus otitis,[2813]
alloionema appendiculatum,"[592, 594]"
alloptes obtusolobus,[3085]
allotriozoon heterandromorphum,[2373]
allpahuayo virus,[4034]
alphacoronavirus 1,"[208, 1062, 1063, 2326, 3573, 3978, 5719]"
alternanthera mild mosaic virus,[272]
alternanthera mosaic virus,"[274, 3840, 4449, 4767]"
alternanthera yellow vein virus,"[273, 275, 1587, 2052, 3326, 5522]"
alternaria alternata,"[1063, 2161, 2326, 2813, 3049]"
alternaria longipes,"[673, 3508, 3514, 3935, 5395, 5499, 5985, 5986, 6010, 6223]"
alternaria tenuissima,"[247, 607, 647, 672, 995, 1054, 1151, 1234, 2174, 2992, 3240, 3459, 3935, 4214, 4599, 4838, 5249, 5330, 5395, 5488, 5499, 5976, 6010, 6044, 6115, 6206, 6223, 6296]"
alternaria triticina,[2813]
alteromonas addita,[2514]
alteromonas alvinellae,[276]
alteromonas macleodii,"[3352, 4765, 6063]"
alteromonas marina,[6063]
amaranthus leaf mottle virus,[284]
amauronematus eiteli,[5227]
amauronematus neglectus,[5228]
amblyomma americanum,"[4025, 4803, 4955]"
amblyomma antillorum,[1734]
amblyomma auricularium,[1814]
amblyomma cajennense,"[912, 2161]"
amblyomma coelebs,[5793]
amblyomma crassum,[2528]
amblyomma darwini,[311]
amblyomma dissimile,[2897]
amblyomma dubitatum,"[1904, 2033, 2813, 2843]"
amblyomma extraoculatum,[2843]
amblyomma geayi,[883]
amblyomma goeldii,[5785]
amblyomma hebraeum,[854]
amblyomma humerale,[2528]
amblyomma longirostre,"[2037, 4626]"
amblyomma maculatum,"[1061, 4025]"
amblyomma naponense,[5800]
amblyomma oblongoguttatum,[5800]
amblyomma ovale,[3853]
amblyomma parvitarsum,[3060]
amblyomma parvum,"[1814, 2486]"
amblyomma pecarium,[5800]
amblyomma pilosum,[2530]
amblyomma rhinocerotis,[1897]
amblyomma rotundatum,[928]
amblyomma scutatum,"[1655, 2897]"
amblyomma sparsum,[1897]
amblyomma tapirellum,[2813]
amblyomma testudinarium,"[2065, 2813]"
amblyomma tigrinum,"[213, 1164, 1572, 2033, 2470, 2486, 3705, 4720, 5092, 5241, 5243]"
amblyomma variegatum,[854]
amblyomma varium,[883]
amblyomma williamsi,[311]
amblyospora californica,[1688]
amblyospora canadensis,[3995]
amblyospora cinerei,[144]
amblyospora excrucii,"[63, 4002]"
amblyospora ferocious,[4892]
amblyospora indicola,[1686]
amblyospora khaliulini,"[63, 4000]"
amblyospora opacita,[1689]
amblyospora rugosa,[3996]
amblyospora salinaria,[1685]
amblyospora stictici,[4008]
amblyospora stimuli,"[1886, 4009]"
amblyospora weiseri,[3996]
ambystoma tigrinum virus,[314]
american plum line pattern virus,"[4827, 4840]"
amoebogregarina nigra,[3552]
amphibiocystidium ranae,"[5031, 5034]"
amphicotyle heteropleura,[1185]
amphilina foliacea,[101]
amphorophora idaei,[5171]
amphoteromorphus ninoi,"[880, 881]"
amphoteromorphus piraeeba,"[880, 881]"
amritodus atkinsoni,[3474]
amritodus brevistylus,[3474]
amurotaenia decidua,[2583]
amycolatopsis vancoresmycina,[1777]
amylostereum areolatum,"[1820, 5463, 5465]"
amylostereum chailletii,"[5464, 6076]"
amyrsidea spicula,[4116]
anabaena azollae,"[714, 715]"
anaerococcus lactolyticus,[2813]
anaerococcus tetradius,[2813]
anaeroglobus geminatus,[2813]
anaerostipes butyraticus,[2497]
anaerostipes caccae,[2813]
anagrus epos,[2810]
anagrus erythroneurae,[2168]
anagrus tretiakovae,[2169]
analges passerinus,[1118]
analges spiniger,[5729]
anantrum tortum,[5757]
anaplasma bovis,"[787, 797, 854, 1062, 1063, 1072, 1224, 2649, 2652, 2846, 3792, 4803, 5108, 5719, 5733, 5788]"
anaplasma centrale,"[854, 1224, 2652, 5114]"
anaplasma marginale,"[787, 797, 850, 851, 854, 1223, 1508, 1858, 1866, 2653, 2831, 3505, 3757, 4024, 4025, 4125, 5112, 5115, 5748]"
anaplasma ovis,"[583, 854, 1072, 1075, 1223, 1861, 2649, 2653, 2813, 2975, 4024, 4152, 4153, 5112]"
anaplasma phagocytophilum,"[510, 514, 516, 788, 854, 1062, 1063, 1072, 1073, 1075, 1223, 1794, 1864, 1865, 2126, 2127, 2128, 2158, 2161, 2178, 2326, 2649, 2652, 2813, 2833, 2846, 2969, 2971, 2972, 2974, 2975, 2976, 3195, 3251, 3663, 3749, 3789, 3792, 3793, 3891, 3942, 3943, 3944, 3946, 4025, 4152, 4355, 4369, 5058, 5061, 5107, 5112, 5182, 5299, 5316, 5317, 5437, 5719, 5732, 5733, 5788, 6020, 6109, 6212]"
anaplasma platys,"[1062, 1063, 1072, 2326, 5112]"
anastrepha obliqua,"[699, 3474, 5595]"
anastrepha sororcula,[4882]
anastrepha suspensa,"[1431, 2179, 2239, 3474, 3477, 4881, 4882, 5409, 5725, 5816]"
anaticola anseris,"[455, 457, 887]"
anaticola crassicornis,"[346, 359, 709, 5521]"
anaticola magnificus,[5772]
anatoecus cygni,[1738]
anatrichosoma haycocki,[5057]
anchistrocephalus microcephalus,[3700]
ancistrona vagelli,"[2463, 4953]"
ancistroplax crocidurae,[1612]
ancylobacter polymorphus,[6281]
ancylocoelium typicum,[5907]
ancylostoma braziliense,"[1063, 2326, 2813]"
ancylostoma caninum,"[1061, 1062, 1063, 2813, 6212]"
ancylostoma ceylanicum,"[1062, 1063, 2326, 2813, 3613]"
ancylostoma duodenale,"[1063, 2813]"
ancylostoma tubaeforme,"[2326, 3384]"
ancyrocephalus mogurndae,[5454]
ancyrocephalus percae,[4353]
andes virus,"[16, 214, 687, 812, 2813, 4039, 4040, 4042, 4043, 4045, 4162, 5061, 5062]"
andracantha gravida,[4399]
andreanna caspii,[3998]
andrya cuniculi,[4124]
andrya rhopalocephala,[3195]
aneurinibacillus migulanus,[4814]
angelica virus y,"[405, 406]"
angelonia flower break virus,[407]
angiostoma dentifera,[594]
angiostoma limacis,"[592, 593]"
angiostrongylus cantonensis,"[1063, 2813, 3941, 4264, 4739, 5061, 5062]"
angiostrongylus costaricensis,"[2813, 3749, 5437]"
angiostrongylus dujardini,"[521, 3789]"
angiostrongylus malaysiensis,[5065]
angiostrongylus vasorum,"[1061, 1062, 1063, 6212]"
angomonas ambiguus,[1366]
angomonas deanei,"[1367, 3323]"
angomonas desouzai,[3324]
anguillicola globiceps,[410]
anguillicoloides australiensis,[413]
anguillicoloides crassus,"[408, 410, 414]"
anguillicoloides novaezelandiae,"[409, 413]"
anguillicoloides papernai,"[411, 412]"
anguina agrostis,"[203, 204]"
anguina caricis,[1122]
anguina tritici,[6010]
anguina wevelli,[2166]
anguina woodii,[2061]
angusticaecum holopterum,[5821]
anilocra longicauda,[1889]
anilocra pomacentri,[1352]
anisakis brevispiculata,"[769, 3022, 5848]"
anisakis nascettii,"[3616, 3617, 3618, 3729]"
anisakis paggiae,"[449, 769, 5848]"
anisakis pegreffii,"[1121, 1506, 1825, 2475, 2640, 3639, 4188, 5324, 5387, 5848, 5885, 5915]"
anisakis physeteris,"[695, 769, 2208, 2813, 3607, 4188, 4515, 5546, 5746, 6294]"
anisakis simplex,"[762, 1455, 1491, 2072, 2476, 2477, 2551, 2813, 3444, 3550, 3639, 3782, 3820, 3967, 4054, 4055, 4059, 4188, 4725, 5074, 5237, 5325, 5848, 5885, 5915]"
anisakis typica,"[694, 695, 3022, 3353, 3607, 4188, 4349, 5054, 5324, 5365, 5546, 5654, 5656, 5657, 5953]"
anisakis ziphidarum,"[4188, 6294]"
anisococcus adenostomae,[138]
anisofilariata chironomi,[1320]
ankistromeces dunwichensis,[5426]
ankistromeces olsoni,[5426]
anncaliia algerae,"[446, 2813]"
anonchocephalus chilensis,[2526]
anophryoides haemophila,[2811]
anoplocephala magna,[2161]
anoplocephala perfoliata,"[2160, 2161]"
anoplocephaloides dentata,"[1318, 1916, 3648, 3649, 3651, 3653, 3655, 3658, 3659, 3660, 3663, 3664, 3792]"
anoplocephaloides kontrimavichusi,[5747]
anoplocephaloides lemmi,[3146]
anoplodinium denticulatum,"[854, 4152]"
anoplodiscus cirrusspiralis,[5551]
anoplonyx apicalis,[3080]
anoplophrya marylandensis,[3334]
anoxybacillus pushchinoensis,[2813]
antarctomyces psychrotrophicus,[2173]
antheraea assama,"[3270, 3414]"
anthobothrium laciniatum,[4790]
anthocephalum alicae,[1805]
anthonomus grandis,[2602]
antonina pretiosa,[733]
antorchis pomacanthi,[4737]
anuraphis catonii,[4540]
anuraphis farfarae,[6041]
anuraphis subterranea,[2736]
aonchotheca philippinensis,[2813]
aonidiella aurantii,"[1423, 3132]"
apatemon annuligerum,[4353]
apatemon gracilis,"[4058, 5237]"
aphanoascus terreus,[5061]
aphanocapsa feldmannii,[505]
aphanomyces astaci,"[640, 692, 4088, 4179]"
aphanomyces frigidophilus,"[692, 4057, 4179]"
aphanomyces invadans,"[895, 3737]"
aphanomyces laevis,[4179]
aphanomyces repetans,"[692, 4179]"
apharyngostrigea cornu,[577]
apharyngostrigea pipientis,"[3982, 5044]"
aphelenchoides besseyi,[4130]
aphelenchoides fragariae,"[108, 922, 3075]"
aphelenchoides ritzemabosi,[5255]
aphelenchoides stammeri,[4603]
aphelenchoides subtenuis,[1619]
aphelenchoides xylocopae,[6256]
aphelenchus avenae,[2904]
aphelinus paramali,[492]
aphelinus varipes,[491]
aphidius colemani,"[491, 2840]"
aphidius funebris,[6102]
aphidius matricariae,[3834]
aphidius rhopalosiphi,"[3625, 5139, 5307, 5467]"
aphidius rosae,[3440]
aphidius salicis,[1162]
aphidius transcaspicus,"[4480, 4826, 4830, 4831, 4838]"
aphidius uzbekistanicus,[5467]
aphis craccivora,"[1548, 3511, 6188]"
aphis fabae,"[1305, 5490, 6158]"
aphis glycines,[2570]
aphis gossypii,"[1174, 1659, 1660, 2599, 2711, 2769, 4977, 5086, 5485, 5488, 6143, 6281]"
aphis idaei,[5171]
aphis ruborum,[5168]
aphis vaccinii,[6117]
apicystis bombi,"[498, 831]"
apiospora montagnei,"[2954, 4397]"
apium virus y,"[321, 499, 1507, 1544]"
apocephalus paraponerae,"[2053, 4172, 4255]"
apocrypta bakeri,[2367]
apocrypta caudata,[2420]
apocrypta westwoodi,[2398]
apocryptophagus agraensis,[2398]
apocryptophagus explorator,[2376]
apocryptophagus fuscus,[2398]
apocryptophagus gigas,[2410]
apocryptophagus stratheni,[2398]
apocryptophagus testaceus,[2398]
apophysomyces elegans,[2813]
aporhynchus norvegicus,[2208]
aporocotyle spinosicanalis,[3606]
apple chlorotic leaf spot virus,"[1736, 4826, 4827, 4830, 4831, 4838, 4843, 4974, 4975, 6206]"
apple dimple fruit viroid,[3457]
apple mosaic virus,"[2824, 4826, 4830, 4975, 5254]"
apple scar skin viroid,"[3458, 4826, 4827, 4838, 4975, 4976]"
apple stem grooving virus,"[1428, 3840, 4975]"
apple stem pitting virus,"[4975, 6206]"
apricot latent virus,"[4826, 4827, 4838, 4840]"
apricot pseudo-chlorotic leaf spot virus,"[4826, 4830, 4838, 4840]"
aprostocetus cerricola,"[396, 3921, 3922]"
aptorchis megacetabulus,[1300]
aptorchis megapharynx,[1298]
aquamicrobium lusatiense,[2813]
aquanirmus occidentalis,[140]
aquanirmus rollandii,[5155]
aquareovirus a,"[2080, 4708, 5237]"
aquareovirus c,[1653]
aquareovirus g,[1653]
arabis mosaic virus,"[770, 1307, 3224, 4038, 4826, 6025, 6191, 6206]"
arachniotus littoralis,"[5061, 5062]"
arachnomyces nodosetosus,[2813]
araecerus fasciculatus,[6281]
aranicola proteolyticus,[3908]
aravan virus,[3800]
arcanobacterium abortisuis,[5719]
arcanobacterium bernardiae,[2813]
arcanobacterium bialowiezense,[788]
arcanobacterium bonasi,[788]
arcanobacterium haemolyticum,"[2161, 2813, 3556]"
arcanobacterium phocae,[4453]
arcanobacterium pluranimalium,[854]
arcanobacterium pyogenes,"[788, 854, 2161, 2511, 2813, 3838, 4025, 5719, 5720]"
archigetes sieboldi,"[2578, 3233]"
archolipeurus nandu,[5088]
arcobacter butzleri,"[854, 2813, 2855, 5719]"
arcobacter cibarius,[2497]
arcobacter cryaerophilus,"[854, 2813, 5719, 5720]"
arcobacter nitrofigilis,[5549]
arcobacter skirrowii,[854]
arcobacter trophiarum,[5719]
ardeicola ardeae,[577]
ardeicola geronticorum,[2538]
arenibacter latericius,[5863]
arenibacter palladensis,[6058]
arhopala amphimuta,"[3407, 3411]"
arhopala dajagaka,[3410]
arhopala major,[3409]
arhopala zylda,[3408]
armatobalanus allium,[3717]
armillifer moniliformis,[3396]
arostrilepis horrida,[3789]
arracacha mottle virus,[601]
arracacha phytoplasma,[601]
arsenophonus nasoniae,"[2975, 3850]"
arthrinium phaeospermum,"[1131, 2542, 2570, 2819]"
arthrobacter agilis,[6192]
arthrobacter arilaitensis,[4130]
arthrobacter creatinolyticus,"[1683, 2813]"
arthrobacter crystallopoietes,[5761]
arthrobacter koreensis,[5567]
arthrobacter luteolus,[5798]
arthrobacter mysorens,[2813]
arthrobacter nicotianae,"[984, 4130]"
arthrobacter nicotinovorans,[251]
arthrobacter oxydans,"[1963, 2556, 3453, 3733, 5490, 5798]"
arthrobacter pascens,[3930]
arthrobacter protophormiae,"[1777, 5856]"
arthrobacter sulfonivorans,[4186]
arthrobacter sulfureus,[251]
arthrobacter tumbae,"[3930, 4831]"
arthrobacter woluwensis,[2813]
arthrobotrys conoides,[3577]
arthrobotrys oligospora,[3577]
arthroderma benhamiae,"[663, 1062, 1063, 1165, 2170, 2178, 2326, 2813]"
arthroderma fulvum,[2813]
arthroderma grubyi,[2813]
arthroderma gypseum,"[2813, 4124]"
arthroderma obtusum,"[2813, 5719, 5720]"
arthroderma otae,"[1062, 1063, 2326, 2813, 4124, 5719]"
arthroderma simii,"[2497, 2813]"
arthroderma uncinatum,[2161]
arthroderma vanbreuseghemii,"[1062, 1063, 1165, 1313, 1314, 2161, 2326, 2813, 3764, 4124, 5061]"
